decoder,task,pool,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,generation_seconds,generation_examples,generation_ms_per_query,retrieval_seconds,source_log,source_log_sha256
P2L,visualnews_task0,visualnews_task0,0.1549,0.2624,0.2959,,,446.776022,19995,22.3443871967992,36.176437,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,mscoco_task0,mscoco_task0_test,0.5294,0.7663,0.8336,,,528.848268,24809,21.316791003264942,51.103785,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,fashion200k_task0,fashion200k_task0,,,0.1495,0.1908,0.2327,44.146754,1719,25.68164863292612,5.657623,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,webqa_task1,webqa_task1,0.3255,0.4224,0.4383,,,71.773361,2455,29.2355849287169,12.559561,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,edis_task2,edis_task2,0.2305,0.4418,0.5017,,,104.495465,3241,32.24173557543968,19.651909,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,webqa_task2,webqa_task2,0.3839,0.5699,0.6169,,,67.857605,2511,27.02413580246914,10.379722,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,visualnews_task3,visualnews_task3,0.1636,0.2735,0.3078,,,475.214674,20000,23.7607337,32.512352,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,mscoco_task3,mscoco_task3_test,0.7218,0.9026,0.9408,,,110.084625,5000,22.016925,6.324567,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,fashion200k_task3,fashion200k_task3,,,0.1622,0.2131,0.2598,113.984542,4889,23.314490079770916,7.320667,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
P2L,nights_task4,nights_task4,0.0717,0.3038,0.5028,,,48.4776,2120,22.866792452830193,2.992198,logs/vldb_matched/20260903_150504/p2l_all16_aggregate.log,b1bd19f4d48045bfa71c1fa42127f779b23d5ccf1eb094994c2f3e67ed1b1bfe
